root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17090803.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17090916.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17091216.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17100317.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17100726.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17100915.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17101215.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17110302.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17110421.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17110525.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17110718.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17110808.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17110811.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17111024.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17111222.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17120527.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17120527a.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17120618.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17120801.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17120919.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17121031.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17121223.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17130131.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17130313.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17130429.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17130925.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17131024.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17131223.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17140129.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17140310.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17140421.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17140528.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17140716.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17140922.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17141027.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17141222.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17150202.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17150511.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17150520.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17150622.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17150803.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17150921.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17151028.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17151102.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17151223.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17160127.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17160608.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17160713.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17160919.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17160921.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17161219.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17170201.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17170320.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17170520.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17170626.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17171002.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17171220.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17180127.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17180317.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17180317a.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17180527.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17180531.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17180806.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17181031.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17190213.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17190223.xml
